year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,be_ppm,VADM,solar_modulation
-278000,-3.412,207.75,-1.558,0.024,0.398,1.925,458.725,342.05,1.841,1.062,0.39
-276000,-3.437,197.7,-1.824,0.023,0.396,2.439,463.574,342.042,1.87,0.969,0.39
-274000,-5.162,196.25,-1.863,0.022,0.394,2.945,471.445,342.034,1.898,0.972,0.392
-272000,-5.604,192.15,-1.976,0.021,0.394,3.44,480.863,342.028,1.926,1.042,0.396
-270000,-5.818,191.75,-1.987,0.021,0.394,3.924,489.732,342.024,1.955,1.046,0.4
-268000,-6.179,190.7,-2.017,0.021,0.396,4.402,496.574,342.023,1.97,1.043,0.403
-266000,-5.858,200.2,-1.756,0.021,0.399,4.873,501.317,342.023,1.985,1.115,0.402
-264000,-4.739,199.9,-1.764,0.021,0.403,5.346,502.589,342.027,2.0,0.96,0.401
-262000,-4.134,228.1,-1.058,0.022,0.408,5.82,501.298,342.032,1.972,0.982,0.4
-260000,-3.678,209.733,-1.508,0.023,0.413,2.113,496.79,342.041,1.945,1.099,0.402
-258000,-3.295,206.75,-1.584,0.024,0.418,0.506,490.92,342.052,1.918,1.193,0.406
-256000,-2.791,202.95,-1.683,0.026,0.422,1.002,485.525,342.066,1.89,1.326,0.407
-254000,-2.559,199.0,-1.789,0.028,0.425,1.505,482.589,342.082,1.862,1.286,0.405
-252000,-2.142,195.833,-1.874,0.03,0.426,2.018,485.419,342.1,1.835,1.223,0.402
-250000,-3.664,207.05,-1.576,0.032,0.426,2.536,493.216,342.12,1.808,1.268,0.399
-248000,-4.462,214.7,-1.382,0.033,0.423,3.065,506.365,342.141,1.78,1.252,0.383
-246000,-4.672,224.4,-1.146,0.035,0.419,3.601,520.377,342.163,1.465,1.134,0.35
-244000,-2.714,234.1,-0.92,0.037,0.414,4.148,529.348,342.186,1.15,1.071,0.345
-242000,-0.681,265.4,-0.248,0.039,0.408,4.704,530.296,342.209,1.727,1.085,0.371
-240000,-1.611,267.3,-0.21,0.041,0.401,5.27,516.725,342.231,2.305,1.171,0.411
-238000,-2.048,247.9,-0.613,0.042,0.395,5.844,493.92,342.253,2.058,1.272,0.417
-236000,-1.934,243.2,-0.715,0.043,0.39,2.239,465.307,342.274,1.81,1.274,0.407
-234000,-2.011,246.233,-0.649,0.045,0.387,0.733,439.453,342.294,1.809,1.282,0.4
-232000,-3.683,241.1,-0.762,0.046,0.386,1.326,426.389,342.312,1.808,1.28,0.402
-230000,-3.431,235.967,-0.877,0.047,0.386,1.919,426.638,342.328,1.806,1.369,0.402
-228000,-3.47,224.5,-1.144,0.048,0.39,2.51,445.573,342.342,1.805,1.32,0.401
-226000,-3.698,234.367,-0.913,0.049,0.395,3.096,474.494,342.353,1.804,1.246,0.398
-224000,-4.313,209.5,-1.514,0.049,0.401,3.676,507.75,342.362,1.802,1.17,0.395
-222000,-3.399,207.2,-1.573,0.049,0.408,4.251,535.876,342.37,1.801,1.128,0.392
-220000,-5.313,211.6,-1.46,0.05,0.414,4.817,547.678,342.374,1.8,1.131,0.391
-218000,-4.157,227.3,-1.077,0.05,0.42,5.379,545.171,342.376,1.738,1.226,0.389
-216000,-2.841,249.367,-0.582,0.05,0.424,5.935,526.372,342.377,1.677,1.225,0.384
